id;type;score;bedrooms;type_bedroom;beds;type_bed;baths;type_bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
1130775;Rental unit in Madrid ;;1;studio;1;bed;1;bath;1450378;Alfredo;ChamberÃ­;Trafalgar;4.043.401;-370.052;Entire home/apt;22;150;1;7/20/2022;0.06;2;190;0;
23581326;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;54744976;Julio;Arganzuela;Delicias;4.039.688;-36.947;Private room;22;3;0;;;1;317;0;
24937449;Rental unit in Madrid ;;1;studio;1;bed;8;shared_bath;75150135;Estuhome;ChamberÃ­;Gaztambide;4.043.539;-371.673;Private room;59;2;0;;;19;195;0;
25021356;Loft in Madrid ;;1;studio;4;bed;1;private_bath;82923871;Loreto;Ciudad Lineal;San Pascual;4.044.474;-364.861;Private room;66;15;0;;;1;73;0;
26510841;Home in Madrid ;;1;studio;2;bed;1;shared_bath;199382819;Marin;Centro;Justicia;4.042.397;-369.942;Private room;250;1;0;;;1;0;0;
27390611;Rental unit in Madrid ;;1;studio;2;bed;1;bath;206380379;Ana;TetuÃ¡n;Valdeacederas;4.046.824;-37.018;Entire home/apt;400;2;1;11/04/2018;0.02;1;0;0;
27505441;Rental unit in Madrid ;;1;studio;1;bed;1;bath;5549059;Ekaterina;Ciudad Lineal;Ventas;4.042.742;-366.019;Entire home/apt;50;4;0;;;1;0;0;
27902300;Home in Madrid ;;1;studio;1;bed;1;half-bath;138938277;Ariadna;Carabanchel;Comillas;4.039.311;-371.032;Entire home/apt;300;1;0;;;1;87;0;
29392874;Rental unit in Madrid ;;1;studio;1;bed;1;bath;127208927;Tata;TetuÃ¡n;Castillejos;4.046.492;-368.949;Entire home/apt;85;30;0;;;1;0;0;
29533376;Boutique hotel in Madrid ;;1;studio;1;bed;1;private_bath;222366700;Carlos;Centro;Embajadores;4.041.264;-370.062;Hotel room;141;1;2;3/01/2020;0.04;7;334;0;
29552407;Boutique hotel in Madrid ;;1;studio;2;bed;1;private_bath;222366700;Carlos;Centro;Embajadores;4.041.146;-369.854;Hotel room;106;1;1;1/27/2020;0.02;7;173;0;
29558661;Boutique hotel in Madrid ;;1;studio;2;bed;1;private_bath;222366700;Carlos;Centro;Embajadores;4.041.106;-370.058;Hotel room;122;1;1;2/23/2019;0.02;7;178;0;
29559860;Boutique hotel in Madrid ;;1;studio;1;bed;1;private_bath;222366700;Carlos;Centro;Embajadores;4.041.132;-370.063;Hotel room;145;1;1;9/18/2022;0.07;7;133;0;
34294163;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;67353;Alexandre;Centro;Universidad;4.042.265;-3.705;Private room;100;1;1;6/09/2019;0.02;4;84;0;
34019259;Rental unit in Madrid ;;1;studio;3;bed;1;shared_bath;132093597;Richard;Villaverde;Los Rosales;4.034.831;-368.922;Private room;35;30;0;;;1;0;0;
34499420;Rental unit in Madrid ;;1;studio;1;bed;1;bath;39350847;Hugo;Centro;Palacio;4.041.225;-371.525;Entire home/apt;500;1;0;;;1;89;0;
34649770;Serviced apartment in Madrid ;;1;studio;2;bed;1;bath;197974523;Gabriel;Centro;Sol;404.161;-370.646;Entire home/apt;151;2;2;1/23/2022;0.06;14;27;0;VT-8476
34766007;Rental unit in Madrid ;;1;studio;1;bed;1;bath;262170508;Jimena;Arganzuela;Palos de Moguer;4.040.157;-368.895;Entire home/apt;62;18;0;;;1;0;0;
34768663;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;221341985;Angela;ChamberÃ­;Vallehermoso;404.463;-371.216;Private room;450;1;0;;;1;0;0;
34775860;Rental unit in Madrid ;;1;studio;1;bed;1;private_bath;94158241;Benito;San Blas - Canillejas;Rejas;4.044.496;-358.995;Private room;350;1;0;;;1;89;0;
34825950;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;213490368;Paulina;VicÃ¡lvaro;Ambroz;4.040.671;-36.083;Private room;200;1;0;;;1;0;0;
34744751;Rental unit in Madrid ;;1;studio;1;bed;1;private_bath;164157445;Cristian;Hortaleza;Canillas;4.046.646;-363.911;Private room;365;1;0;;;1;89;0;
34951484;Home in Madrid ;;1;studio;2;bed;1;shared_bath;263367653;Oumar;San Blas - Canillejas;HellÃ­n;4.043.242;-361.716;Private room;300;1;0;;;1;0;0;
34974364;Rental unit in Madrid ;;1;studio;1;bed;1;bath;2453041;Pedro;ChamberÃ­;Trafalgar;4.043.333;-370.263;Entire home/apt;100;32;2;12/01/2022;0.14;1;96;0;
34899184;Loft in Madrid ;;1;studio;2;bed;1;bath;19339182;Jose Antonio;Centro;Sol;4.042.016;-370.762;Entire home/apt;700;1;0;;;1;365;0;
34907367;Home in Madrid ;;1;studio;2;bed;1;private_bath;263089091;Alvarito;Barajas;Alameda de Osuna;4.045.365;-359.387;Private room;300;1;0;;;1;0;0;
35132510;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;123251555;Diego;San Blas - Canillejas;HellÃ­n;4.042.939;-361.535;Private room;300;1;0;;;1;0;0;
35112852;Home in Madrid ;;1;studio;2;bed;1;private_bath;83149000;Nayela;Ciudad Lineal;San Pascual;4.043.974;-365.588;Private room;400;1;0;;;1;0;0;
35140309;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;13092533;Roselyne;ChamartÃ­n;Prosperidad;4.044.197;-366.948;Private room;500;1;0;;;1;179;0;
35178196;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;264912734;Fernando;San Blas - Canillejas;HellÃ­n;4.042.898;-36.133;Private room;600;1;0;;;1;365;0;
35160097;Home in Madrid ;;1;studio;5;bed;1.5;bath;214045009;Javier;Moratalaz;FontarrÃ³n;4.039.927;-364.051;Entire home/apt;900;1;0;;;1;89;0;
35247996;Home in Madrid ;;1;studio;1;bed;1;shared_bath;265369346;Mariela;San Blas - Canillejas;Amposta;404.264;-362.066;Private room;800;1;0;;;1;365;0;
35217732;Rental unit in Madrid ;;1;studio;5;bed;1.5;bath;107489419;Israel;Retiro;Ibiza;4.041.907;-367.497;Entire home/apt;3990;1;0;;;1;180;0;
35218949;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;265168971;Lamin;ChamberÃ­;Vallehermoso;4.044.566;-370.505;Private room;1111;1;0;;;1;0;0;
35245755;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;173078795;Xabi;Latina;Aguilas;4.037.623;-376.386;Private room;460;1;0;;;2;365;0;
36345043;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;273316518;Laura;Centro;Justicia;4.042.333;-369.577;Private room;170;2;0;;;1;0;0;
36158389;Rental unit in Madrid ;;1;studio;1;bed;2;bath;248646372;Ignacio;ChamartÃ­n;HispanoamÃ©rica;4.045.573;-368.092;Entire home/apt;250;10;0;;;1;0;0;
36441952;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;273987861;Miguel Angel;San Blas - Canillejas;HellÃ­n;4.043.132;-36.155;Private room;800;1;0;;;1;0;0;
37521277;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;283245638;Nicolas;Carabanchel;Puerta Bonita;403.864;-373.026;Private room;70;1;1;12/09/2019;0.02;1;0;0;
38011215;Home in Madrid ;;1;studio;1;bed;1;private_bath;288340327;Habitaciones;Ciudad Lineal;San Pascual;404.447;-365.494;Private room;480;6;0;;;1;0;0;
38040440;Rental unit in Madrid ;;1;studio;1;bed;0;bath;267403694;Emilio;Ciudad Lineal;Colina;4.045.478;-366.058;Entire home/apt;500;2;0;;;1;358;0;
37586382;Rental unit in Madrid ;;1;studio;2;bed;1;bath;283942777;New Point Ã“pera;Centro;Sol;4.041.811;-37.068;Entire home/apt;116;1;2;6/04/2023;0.08;11;293;1;500/2016/14839
37614083;Rental unit in Madrid ;;1;studio;2;bed;1;bath;283942777;New Point Ã“pera;Centro;Palacio;4.041.649;-370.903;Entire home/apt;128;1;1;10/23/2022;0.07;11;219;0;500/2016/14839
38379381;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;220967331;Miguel;Centro;Sol;4.041.734;-370.425;Private room;90;50;1;10/07/2019;0.02;5;89;0;
38471356;Rental unit in Madrid ;;1;studio;1;bed;1;bath;293206094;Lenin;Carabanchel;Vista Alegre;4.038.793;-374.252;Entire home/apt;60;8;0;;;1;0;0;
38684090;Rental unit in Madrid ;;1;studio;1;bed;1;bath;295453672;Xavier;Carabanchel;Vista Alegre;4.038.809;-374.276;Entire home/apt;67;10;0;;;1;0;0;
39027506;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;87388621;Jeyson;Arganzuela;Palos de Moguer;404.008;-368.816;Private room;19;1;1;10/14/2019;0.02;1;0;0;
